n;RN;AVL;B-1;B-5;B-10
555;6465;16461;12370;9804;9790
556;6471;16531;12444;9837;9808
557;6499;16540;12461;9839;9820
558;6505;16617;12494;9861;9834
559;6568;16585;12526;9885;9888
560;6564;16677;12560;9918;9893
561;6548;16666;12616;9928;9906
562;6551;16659;12617;9935;9931
563;6563;16783;12610;9965;9948
564;6572;16799;12617;9981;9976
565;6569;16757;12630;9973;9989
566;6611;16863;12626;10005;10007
567;6617;16851;12748;10040;10027
568;6631;16916;12752;10062;10038
569;6689;16979;12749;10076;10068
570;6595;16887;12770;10104;10091
571;6657;17007;12768;10129;10108
572;6709;17039;12844;10138;10113
573;6663;17013;12869;10162;10166
574;6725;17099;12944;10199;10171
575;6731;17133;12945;10206;10179
576;6751;17219;12935;10212;10196
577;6762;17228;12946;10224;10225
578;6800;17215;12979;10251;10251
579;6739;17222;13067;10287;10247
580;6758;17290;12997;10269;10270
581;6860;17385;13065;10309;10302
582;6846;17407;13088;10321;10330
583;6796;17404;13118;10368;10348
584;6818;17423;13136;10365;10389
585;6887;17465;13142;10399;10368
586;6852;17570;13191;10405;10410
587;6918;17608;13264;10423;10424
588;6885;17615;13237;10441;10450
589;6933;17630;13308;10471;10458
590;6947;17692;13335;10490;10489
591;6953;17746;13336;10486;10498
592;6940;17748;13344;10533;10534
593;6954;17744;13320;10543;10550
594;6986;17791;13395;10564;10548
595;6993;17879;13432;10592;10594
596;6980;17818;13466;10618;10611
597;7009;17876;13465;10622;10636
598;6999;17899;13517;10652;10655
599;7091;18011;13521;10670;10675
600;7067;18037;13534;10686;10688
601;7069;18044;13597;10670;10736
602;7068;18034;13615;10718;10735
603;7104;18083;13614;10732;10749
604;7118;18076;13695;10766;10750
605;7142;18239;13666;10785;10770
606;7131;18203;13661;10801;10815
607;7150;18236;13768;10808;10820
608;7180;18285;13742;10827;10840
609;7194;18391;13782;10879;10884
610;7196;18344;13799;10863;10903
611;7189;18327;13855;10888;10896
612;7242;18472;13875;10950;10931
613;7197;18392;13850;10931;10940
614;7207;18451;13863;10951;10959
615;7230;18572;13911;10987;10984
616;7262;18569;13956;11005;11006
617;7262;18573;13961;11007;11038
618;7309;18620;13990;11019;11053
619;7302;18598;14029;11041;11078
620;7318;18779;14029;11078;11092
621;7327;18719;14100;11102;11102
622;7342;18759;14126;11104;11150
623;7384;18885;14172;11125;11150
624;7401;18857;14217;11171;11162
625;7418;18871;14166;11192;11209
626;7365;18866;14214;11178;11210
627;7453;18952;14237;11223;11232
628;7436;19030;14263;11226;11254
629;7462;19036;14285;11248;11263
630;7444;19062;14299;11261;11274
631;7484;19171;14358;11279;11305
632;7445;19059;14330;11312;11315
633;7529;19104;14385;11332;11326
634;7512;19229;14456;11339;11373
635;7561;19266;14416;11364;11388
636;7544;19253;14492;11377;11414
637;7535;19300;14423;11384;11423
638;7591;19328;14547;11440;11459
639;7560;19321;14553;11463;11477
640;7612;19386;14587;11471;11481
641;7618;19435;14609;11481;11518
642;7592;19442;14593;11498;11515
643;7631;19448;14643;11519;11541
644;7611;19514;14696;11552;11563
645;7642;19498;14645;11550;11594
646;7660;19620;14773;11571;11610
647;7672;19588;14770;11608;11652
648;7699;19661;14809;11641;11669
649;7733;19789;14825;11653;11674
650;7747;19773;14836;11674;11703
651;7710;19771;14881;11692;11704
652;7716;19746;14913;11699;11761
653;7781;19878;14927;11729;11736
654;7756;19884;14931;11757;11787
655;7777;19916;14928;11755;11803
656;7760;19925;14914;11784;11836
657;7791;19936;14977;11818;11852
658;7823;20034;15058;11838;11864
659;7831;20093;15069;11841;11876
660;7851;20077;15032;11853;11893
661;7842;20069;15124;11892;11941
662;7903;20185;15187;11912;11918
663;7896;20204;15179;11917;11972
664;7938;20252;15237;11956;11997
665;7874;20264;15237;11978;12021
666;7923;20244;15279;11971;12046
667;7953;20256;15271;12023;12056
