n;RN;AVL;B-1;B-5;B-10
598;1690;6832;5544;5344;5326
599;1695;6869;5543;5362;5329
600;1694;6881;5613;5379;5336
601;1678;6914;5625;5387;5386
602;1665;6901;5580;5405;5382
603;1706;6914;5590;5387;5361
604;1687;6929;5605;5410;5398
605;1700;6966;5633;5420;5418
606;1696;6960;5633;5425;5391
607;1688;6976;5645;5446;5408
608;1707;6982;5666;5475;5474
609;1708;6997;5682;5485;5430
610;1717;7031;5682;5510;5455
611;1721;7026;5695;5497;5452
612;1722;7030;5715;5523;5481
613;1725;7032;5719;5544;5471
614;1724;7049;5726;5537;5521
615;1740;7078;5736;5530;5492
616;1723;7085;5758;5555;5585
617;1746;7109;5741;5574;5526
618;1725;7120;5778;5577;5523
619;1742;7135;5787;5575;5552
620;1734;7144;5796;5588;5576
621;1734;7146;5786;5609;5533
622;1763;7177;5792;5614;5568
623;1755;7160;5827;5615;5587
624;1732;7213;5839;5668;5629
625;1732;7178;5846;5633;5620
626;1760;7225;5872;5666;5649
627;1746;7241;5869;5676;5697
628;1753;7224;5884;5679;5637
629;1762;7270;5886;5694;5664
630;1759;7285;5891;5711;5690
631;1771;7274;5883;5722;5695
632;1770;7298;5946;5737;5706
633;1774;7298;5941;5740;5700
634;1786;7334;5957;5781;5743
635;1786;7329;5939;5727;5688
636;1783;7344;5965;5742;5690
637;1789;7346;5979;5762;5718
638;1772;7336;5960;5768;5742
639;1783;7384;5974;5777;5798
640;1810;7380;6001;5794;5809
641;1782;7385;6026;5841;5753
642;1782;7413;6022;5868;5809
643;1801;7411;6034;5850;5834
644;1793;7438;6034;5881;5822
645;1816;7484;6061;5884;5812
646;1821;7478;6078;5864;5820
647;1806;7477;6055;5878;5865
648;1802;7496;6125;5912;5931
649;1814;7511;6136;5901;5851
650;1822;7526;6123;5918;5881
651;1810;7570;6109;5941;5912
652;1834;7553;6125;5913;5910
653;1824;7582;6168;5960;5879
654;1821;7558;6138;5971;5901
655;1856;7598;6155;5979;5974
656;1840;7619;6150;5982;5920
657;1848;7615;6164;5972;5921
658;1839;7635;6193;6030;5924
659;1862;7628;6192;6027;5995
660;1871;7679;6224;6018;5986
661;1850;7663;6252;6026;6001
662;1857;7695;6242;6045;5972
663;1859;7685;6270;6061;6017
664;1879;7726;6255;6079;6019
665;1880;7712;6246;6062;5998
666;1862;7751;6276;6080;6016
667;1868;7746;6271;6099;6046
668;1890;7767;6328;6121;6046
669;1871;7755;6313;6093;6064
670;1890;7793;6318;6126;6041
671;1882;7820;6345;6150;6099
672;1885;7816;6361;6141;6100
673;1883;7791;6366;6147;6062
674;1890;7847;6374;6187;6099
675;1912;7857;6390;6190;6121
676;1907;7872;6393;6197;6109
677;1902;7887;6410;6200;6118
678;1905;7910;6426;6222;6139
679;1891;7898;6434;6237;6158
680;1899;7935;6442;6257;6221
681;1923;7918;6462;6248;6198
682;1915;7970;6500;6260;6219
683;1922;7964;6466;6275;6216
684;1900;7947;6468;6284;6229
685;1906;7997;6475;6295;6220
686;1915;7996;6537;6308;6213
687;1950;8022;6513;6305;6215
688;1911;8028;6550;6351;6212
689;1929;8048;6541;6364;6249
690;1938;8050;6546;6317;6256
691;1938;8074;6587;6364;6279
692;1931;8071;6548;6367;6273
693;1940;8124;6601;6389;6279
694;1942;8098;6595;6415;6314
695;1953;8095;6629;6399;6330
696;1944;8134;6626;6411;6321
697;1943;8147;6641;6395;6333
698;1960;8129;6634;6436;6366
699;1971;8174;6670;6453;6341
700;1969;8172;6671;6424;6375
701;1976;8209;6653;6464;6397
702;1987;8209;6699;6470;6451
703;1947;8230;6683;6485;6396
704;1987;8240;6700;6474;6393
705;1981;8226;6717;6498;6424
706;1994;8259;6731;6506;6429
707;1984;8289;6740;6520;6421
708;1981;8274;6742;6567;6441
709;2005;8303;6753;6529;6446
710;1987;8312;6783;6574;6514
711;2005;8353;6767;6571;6476
712;1985;8320;6806;6593;6490
713;1991;8345;6779;6602;6482
714;1992;8382;6825;6609;6504
715;2023;8363;6831;6630;6505
716;2008;8374;6827;6634;6540
717;2015;8429;6837;6630;6563
718;2023;8402;6874;6679;6564
719;2019;8436;6875;6647;6544
720;2019;8451;6903;6660;6560
721;2025;8482;6893;6664;6574
722;2042;8513;6955;6705;6603
723;2020;8484;6925;6706;6599
724;2014;8490;6929;6737;6601
725;2028;8499;6942;6707;6613
726;2036;8554;6965;6726;6627
727;2033;8554;6966;6749;6653
728;2049;8574;6970;6764;6637
729;2058;8577;6996;6731;6653
730;2048;8543;6996;6768;6662
731;2066;8604;7001;6782;6677
732;2045;8598;7044;6784;6669
733;2045;8579;7039;6820;6683
734;2061;8656;7041;6827;6718
735;2082;8667;7046;6826;6708
736;2069;8682;7056;6834;6720
737;2067;8689;7085;6866;6744
738;2058;8688;7099;6863;6772
739;2076;8709;7110;6864;6766
740;2067;8703;7087;6872;6762
741;2078;8729;7115;6892;6785
742;2080;8726;7145;6883;6798
743;2103;8770;7164;6917;6795
744;2082;8780;7161;6925;6827
745;2093;8777;7189;6911;6812
746;2098;8790;7185;6942;6844
747;2091;8823;7187;6962;6845
748;2096;8830;7231;6934;6866
749;2114;8796;7243;6968;6866
750;2100;8844;7240;6970;6881
751;2106;8859;7229;6995;6905
752;2130;8881;7242;7007;6906
753;2108;8910;7251;7009;6907
754;2140;8892;7296;7019;6902
755;2114;8910;7280;7056;6929
756;2115;8952;7301;7052;6965
757;2121;8930;7313;7056;6959
758;2145;8955;7289;7059;6959
759;2150;8989;7321;7090;6982
760;2143;8993;7295;7109;6999
761;2140;8996;7340;7102;6993
