n;RN;AVL;B-1;B-5;B-10
759;9196;15399;17667;13907;13888
760;9197;15376;17727;13932;13894
761;9225;15438;17688;13896;13930
762;9257;15485;17719;13910;13964
763;9237;15432;17764;13934;13976
764;9282;15546;17783;13935;13992
765;9241;15504;17880;14025;13989
766;9305;15520;17850;14038;14024
767;9286;15533;17900;14062;14036
768;9350;15571;17863;14036;14069
769;9277;15587;17955;14106;14099
770;9320;15628;17945;14089;14132
771;9370;15670;17939;14150;14151
772;9402;15697;17959;14125;14166
773;9385;15674;17990;14160;14160
774;9480;15765;18069;14178;14197
775;9392;15782;18140;14221;14213
776;9415;15746;18093;14233;14232
777;9407;15806;18141;14249;14260
778;9438;15837;18211;14287;14297
779;9450;15845;18173;14305;14295
780;9440;15782;18195;14304;14332
781;9501;15919;18254;14332;14329
782;9492;15896;18238;14381;14369
783;9522;15938;18315;14341;14367
784;9579;15989;18302;14395;14388
785;9551;15967;18355;14441;14421
786;9563;15994;18391;14440;14426
787;9600;16010;18371;14441;14458
788;9553;16032;18360;14488;14483
789;9584;16030;18530;14516;14521
790;9608;16101;18439;14556;14547
791;9659;16174;18493;14537;14539
792;9681;16144;18481;14554;14561
793;9673;16184;18539;14595;14563
794;9755;16233;18630;14602;14595
795;9765;16263;18593;14588;14638
796;9698;16222;18672;14645;14629
797;9724;16242;18640;14639;14653
798;9720;16291;18714;14687;14673
799;9747;16282;18655;14693;14711
800;9777;16311;18761;14751;14694
801;9767;16346;18722;14746;14735
802;9802;16389;18782;14768;14757
803;9824;16435;18878;14770;14800
804;9824;16506;18839;14821;14811
805;9867;16509;18889;14830;14804
806;9871;16461;18811;14868;14853
807;9828;16503;18903;14876;14873
808;9881;16518;18958;14898;14897
809;9907;16526;18964;14915;14916
810;9882;16574;18974;14932;14931
811;9919;16599;19029;14971;14934
812;9908;16594;18980;14972;14967
813;9916;16631;19101;15009;14984
814;9988;16665;19118;15016;15008
815;10005;16723;19114;15044;15015
816;10008;16680;19076;15086;15062
817;9980;16702;19142;15072;15070
818;10014;16769;19227;15106;15091
819;10039;16786;19258;15142;15114
820;10050;16852;19296;15144;15125
821;10004;16789;19305;15158;15131
822;10066;16840;19365;15200;15178
823;10073;16882;19319;15232;15183
824;10131;16956;19416;15214;15200
825;10095;16916;19370;15262;15219
826;10089;16935;19395;15276;15260
827;10158;16994;19461;15311;15269
828;10141;16956;19449;15295;15287
829;10176;17063;19532;15351;15335
830;10158;17035;19433;15358;15331
831;10147;17077;19535;15409;15323
832;10184;17097;19581;15399;15363
833;10199;17109;19579;15433;15418
834;10238;17136;19565;15454;15420
835;10230;17124;19680;15436;15444
836;10244;17185;19641;15475;15470
837;10290;17237;19729;15503;15452
838;10306;17233;19763;15509;15502
839;10257;17273;19756;15561;15531
840;10310;17268;19761;15589;15530
841;10309;17298;19831;15613;15545
