n;RN;AVL;B-1;B-5;B-10
767;9372;15613;0;0;0
768;9296;15559;0;0;0
769;9316;15620;0;0;0
770;9330;15680;0;0;0
771;9355;15642;0;0;0
772;9338;15654;0;0;0
773;9382;15700;0;0;0
774;9388;15700;0;0;0
775;9404;15728;0;0;0
776;9424;15800;0;0;0
777;9434;15794;0;0;0
778;9426;15823;0;0;0
779;9480;15800;0;0;0
780;9474;15873;0;0;0
781;9505;15886;0;0;0
782;9498;15908;0;0;0
783;9540;15915;0;0;0
784;9522;15962;0;0;0
785;9541;15979;0;0;0
786;9587;16025;0;0;0
787;9550;16007;0;0;0
788;9620;16055;0;0;0
789;9641;16061;0;0;0
790;9623;16138;0;0;0
791;9618;16120;0;0;0
792;9641;16103;0;0;0
793;9713;16139;0;0;0
794;9664;16184;0;0;0
795;9674;16278;0;0;0
796;9725;16236;0;0;0
797;9680;16242;0;0;0
798;9730;16244;0;0;0
799;9770;16309;0;0;0
800;9778;16315;0;0;0
801;9739;16336;0;0;0
802;9744;16349;0;0;0
803;9762;16350;0;0;0
804;9840;16467;0;0;0
805;9877;16460;0;0;0
806;9901;16508;0;0;0
807;9859;16529;0;0;0
808;9848;16526;0;0;0
809;9861;16514;0;0;0
810;9891;16632;0;0;0
811;9900;16606;0;0;0
812;9911;16604;0;0;0
813;9946;16649;0;0;0
814;9984;16684;0;0;0
815;9979;16690;0;0;0
816;9939;16709;0;0;0
817;10021;16743;0;0;0
818;9985;16739;0;0;0
819;10026;16823;0;0;0
820;10000;16797;0;0;0
821;10047;16810;0;0;0
822;10010;16839;0;0;0
823;10087;16899;0;0;0
824;10093;16889;0;0;0
825;10104;16904;0;0;0
826;10138;16926;0;0;0
827;10098;16962;0;0;0
828;10105;16989;0;0;0
829;10129;17014;0;0;0
830;10165;17033;0;0;0
831;10194;17058;0;0;0
832;10162;17050;0;0;0
833;10242;17122;0;0;0
834;10229;17128;0;0;0
835;10247;17129;0;0;0
836;10233;17140;0;0;0
837;10235;17185;0;0;0
838;10271;17215;0;0;0
839;10293;17242;0;0;0
840;10294;17255;0;0;0
841;10315;17253;0;0;0
842;10310;17293;0;0;0
843;10320;17310;0;0;0
844;10420;17389;0;0;0
845;10331;17299;0;0;0
846;10383;17369;0;0;0
847;10407;17422;0;0;0
848;10423;17433;0;0;0
849;10423;17456;0;0;0
850;10464;17486;0;0;0
851;10486;17569;0;0;0
852;10475;17536;0;0;0
853;10553;17660;0;0;0
854;10481;17627;0;0;0
855;10505;17615;0;0;0
856;10483;17639;0;0;0
857;10520;17616;0;0;0
858;10557;17682;0;0;0
859;10542;17705;0;0;0
860;10587;17735;0;0;0
861;10635;17782;0;0;0
862;10654;17815;0;0;0
863;10641;17797;0;0;0
864;10620;17793;0;0;0
865;10625;17871;0;0;0
866;10646;17870;0;0;0
867;10668;17842;0;0;0
868;10680;17849;0;0;0
869;10693;17903;0;0;0
870;10762;17993;0;0;0
871;10729;17955;0;0;0
872;10731;17998;0;0;0
873;10758;18060;0;0;0
874;10760;18093;0;0;0
875;10817;18097;0;0;0
876;10834;18123;0;0;0
877;10819;18157;0;0;0
878;10829;18138;0;0;0
879;10854;18185;0;0;0
880;10869;18203;0;0;0
881;10877;18247;0;0;0
882;10900;18259;0;0;0
883;10887;18288;0;0;0
884;10908;18319;0;0;0
885;10934;18343;0;0;0
886;10955;18381;0;0;0
887;10989;18391;0;0;0
888;10981;18348;0;0;0
889;10955;18414;0;0;0
890;10986;18460;0;0;0
891;11014;18496;0;0;0
892;11075;18494;0;0;0
893;11072;18556;0;0;0
894;11033;18570;0;0;0
895;11066;18565;0;0;0
896;11069;18586;0;0;0
897;11037;18545;0;0;0
898;11125;18605;0;0;0
899;11106;18673;0;0;0
900;11162;18673;0;0;0
901;11211;18724;0;0;0
902;11149;18715;0;0;0
903;11191;18713;0;0;0
904;11175;18705;0;0;0
905;11228;18801;0;0;0
906;11240;18811;0;0;0
907;11224;18817;0;0;0
908;11237;18824;0;0;0
909;11226;18898;0;0;0
910;11235;18886;0;0;0
911;11311;19021;0;0;0
912;11355;19032;0;0;0
913;11281;18964;0;0;0
914;11304;18917;0;0;0
915;11318;19029;0;0;0
916;11336;19049;0;0;0
917;11341;19081;0;0;0
918;11373;19132;0;0;0
919;11419;19197;0;0;0
920;11355;19142;0;0;0
921;11397;19167;0;0;0
922;11447;19190;0;0;0
923;11438;19150;0;0;0
924;11452;19274;0;0;0
925;11446;19266;0;0;0
926;11488;19253;0;0;0
927;11456;19363;0;0;0
928;11563;19331;0;0;0
929;11567;19379;0;0;0
930;11520;19384;0;0;0
931;11603;19414;0;0;0
932;11613;19444;0;0;0
933;11617;19500;0;0;0
934;11629;19453;0;0;0
935;11610;19474;0;0;0
936;11610;19507;0;0;0
937;11612;19583;0;0;0
938;11605;19542;0;0;0
939;11632;19622;0;0;0
940;11668;19591;0;0;0
941;11698;19621;0;0;0
942;11658;19637;0;0;0
943;11716;19722;0;0;0
944;11769;19771;0;0;0
945;11737;19762;0;0;0
946;11793;19793;0;0;0
947;11732;19771;0;0;0
948;11820;19787;0;0;0
949;11854;19869;0;0;0
950;11854;19875;0;0;0
951;11865;19960;0;0;0
952;11884;19932;0;0;0
953;11812;19915;0;0;0
954;11842;19918;0;0;0
955;11940;20050;0;0;0
956;11900;20007;0;0;0
957;11929;20111;0;0;0
958;11930;20065;0;0;0
959;11936;20128;0;0;0
960;11979;20140;0;0;0
961;11924;20066;0;0;0
962;12005;20201;0;0;0
963;12016;20206;0;0;0
964;12068;20208;0;0;0
965;12005;20220;0;0;0
966;12109;20322;0;0;0
967;12045;20258;0;0;0
968;12044;20304;0;0;0
969;12095;20329;0;0;0
970;12140;20364;0;0;0
971;12067;20339;0;0;0
972;12109;20352;0;0;0
973;12179;20471;0;0;0
974;12127;20439;0;0;0
975;12186;20458;0;0;0
976;12144;20522;0;0;0
977;12155;20477;0;0;0
