n;RN;AVL;B-1;B-5;B-10
897;0;0;13532;10253;9788
898;0;0;13355;10215;9738
899;0;0;13574;9940;9828
900;0;0;13770;10215;9822
901;0;0;13552;10308;9904
902;0;0;13526;10215;9852
903;0;0;13740;10404;9966
904;0;0;13733;10486;9987
905;0;0;13629;10250;9815
906;0;0;13552;10394;9889
907;0;0;13850;10385;9895
908;0;0;13726;10388;9989
909;0;0;13921;10465;9965
910;0;0;13731;10210;9956
911;0;0;13919;10390;9959
912;0;0;13715;10408;9940
913;0;0;13799;10562;10029
914;0;0;13812;10413;10061
915;0;0;13903;10512;10071
916;0;0;14165;10533;10074
917;0;0;13804;10462;10127
918;0;0;14300;10683;10177
919;0;0;13989;10505;10218
920;0;0;14158;10392;10016
921;0;0;14128;10464;10242
922;0;0;13777;10585;10279
923;0;0;13799;10419;10006
924;0;0;14035;10458;10225
925;0;0;14045;10651;10122
926;0;0;14171;10615;10226
927;0;0;14088;10441;10183
928;0;0;14058;10452;10103
929;0;0;14014;10498;10151
930;0;0;14268;10526;10396
931;0;0;14194;10625;10263
932;0;0;13987;10653;10221
933;0;0;14304;10812;10286
934;0;0;14105;10524;10241
935;0;0;14292;10726;10341
936;0;0;14344;10628;10132
937;0;0;14212;10771;10294
938;0;0;14262;10709;10238
939;0;0;13881;10736;10267
940;0;0;14118;10754;10314
941;0;0;14162;10819;10327
942;0;0;14489;10823;10251
943;0;0;14188;10945;10467
944;0;0;14423;10942;10457
945;0;0;14656;10956;10418
946;0;0;14601;11089;10381
947;0;0;14433;10947;10535
948;0;0;14322;10827;10468
949;0;0;14377;10845;10522
950;0;0;14535;11015;10579
951;0;0;14559;10984;10470
952;0;0;14759;10935;10613
953;0;0;14956;11163;10680
